epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,6164.77,1.41935,1.09376,1.12033,0.54784,0.43888,0.45538,0.27605,1.30624,0.96645,1.07391,0.00750252,0.00750252,0.00750252
69,6255.1,1.42369,1.09625,1.12051,0.53654,0.43848,0.45312,0.27609,1.30503,0.96877,1.07189,0.00743468,0.00743468,0.00743468
70,6344.76,1.42986,1.09471,1.12465,0.54463,0.43714,0.45379,0.27572,1.30247,0.96543,1.07057,0.00736625,0.00736625,0.00736625
71,6434.01,1.43197,1.10052,1.12266,0.54998,0.43448,0.45764,0.27819,1.30243,0.96432,1.07096,0.00729725,0.00729725,0.00729725
72,6523.35,1.42159,1.07951,1.12271,0.54535,0.44308,0.45806,0.27889,1.30059,0.96127,1.07056,0.0072277,0.0072277,0.0072277
73,6613.08,1.42179,1.08069,1.12268,0.54368,0.44193,0.45883,0.27884,1.29762,0.96024,1.06822,0.00715761,0.00715761,0.00715761
74,6703.54,1.4125,1.07701,1.11665,0.53936,0.44382,0.45943,0.28027,1.29876,0.95756,1.06817,0.007087,0.007087,0.007087
75,6793.17,1.40792,1.06707,1.11676,0.55186,0.4401,0.4613,0.28143,1.29782,0.95635,1.06769,0.00701588,0.00701588,0.00701588
76,6882.92,1.4255,1.07571,1.11735,0.5495,0.44172,0.46226,0.28169,1.29694,0.95428,1.06649,0.00694428,0.00694428,0.00694428
77,6972.77,1.40588,1.06072,1.10927,0.54926,0.4399,0.46235,0.28194,1.29456,0.95193,1.06665,0.00687222,0.00687222,0.00687222
78,7062.09,1.4112,1.06857,1.1095,0.54835,0.44335,0.46392,0.28325,1.29362,0.95132,1.06658,0.0067997,0.0067997,0.0067997
79,7152.2,1.40999,1.06789,1.11312,0.55849,0.4406,0.46426,0.28299,1.29278,0.95025,1.06619,0.00672675,0.00672675,0.00672675
80,7240.75,1.40164,1.05504,1.11254,0.55033,0.44887,0.46533,0.28395,1.29226,0.94853,1.0659,0.00665339,0.00665339,0.00665339
81,7330.07,1.3988,1.05776,1.11189,0.56253,0.44362,0.46658,0.28508,1.29292,0.94821,1.06559,0.00657963,0.00657963,0.00657963
82,7419.74,1.40565,1.05984,1.11496,0.55872,0.44493,0.46647,0.28557,1.29251,0.94604,1.06493,0.0065055,0.0065055,0.0065055
83,7509.27,1.39484,1.05275,1.11249,0.55174,0.45311,0.46978,0.28614,1.2902,0.94419,1.06385,0.00643101,0.00643101,0.00643101
84,7598.38,1.39387,1.05003,1.10801,0.5429,0.45606,0.46977,0.2865,1.28849,0.94411,1.06308,0.00635617,0.00635617,0.00635617
85,7687.63,1.3978,1.05546,1.11418,0.54508,0.45539,0.47029,0.28652,1.29011,0.94217,1.06389,0.00628101,0.00628101,0.00628101
86,7778.26,1.40206,1.04831,1.11284,0.5426,0.45582,0.47121,0.28746,1.28779,0.94066,1.06343,0.00620555,0.00620555,0.00620555
87,7867.47,1.4016,1.05122,1.11221,0.54203,0.45697,0.47152,0.28766,1.28605,0.93992,1.06266,0.00612981,0.00612981,0.00612981
88,7957.06,1.39381,1.03525,1.11193,0.55175,0.45428,0.47242,0.28877,1.28501,0.93811,1.06212,0.0060538,0.0060538,0.0060538
89,8047.56,1.39574,1.04546,1.10869,0.56039,0.45345,0.4739,0.28984,1.28416,0.93576,1.06221,0.00597754,0.00597754,0.00597754
90,8136.9,1.39512,1.04063,1.10991,0.55921,0.45151,0.47507,0.29053,1.28348,0.93413,1.06167,0.00590105,0.00590105,0.00590105
91,8226.55,1.38829,1.0385,1.1047,0.55681,0.44951,0.47474,0.29058,1.28335,0.93399,1.06157,0.00582435,0.00582435,0.00582435
92,8316.03,1.37588,1.02337,1.1082,0.55504,0.45469,0.47543,0.29058,1.28364,0.9328,1.06135,0.00574746,0.00574746,0.00574746
93,8405.9,1.38524,1.02889,1.10735,0.55596,0.45672,0.47564,0.29087,1.28369,0.9314,1.06117,0.0056704,0.0056704,0.0056704
94,8495.45,1.38165,1.01897,1.10307,0.55319,0.45661,0.47476,0.29037,1.28283,0.93052,1.06083,0.00559318,0.00559318,0.00559318
95,8585.45,1.39262,1.03697,1.10656,0.5525,0.45667,0.47549,0.29066,1.28227,0.93026,1.06066,0.00551584,0.00551584,0.00551584
96,8675.45,1.36582,1.01677,1.10013,0.54996,0.45783,0.47562,0.29066,1.28222,0.92959,1.06055,0.00543837,0.00543837,0.00543837
97,8765.25,1.37726,1.02026,1.10406,0.55816,0.45603,0.47673,0.29121,1.28048,0.92811,1.05971,0.00536081,0.00536081,0.00536081
98,8854.48,1.37278,1.01712,1.09782,0.56023,0.45543,0.47761,0.29195,1.27956,0.927,1.059,0.00528318,0.00528318,0.00528318
99,8944.14,1.3705,1.01539,1.10091,0.55562,0.45813,0.47813,0.29163,1.27972,0.92625,1.05891,0.00520548,0.00520548,0.00520548
100,9034.19,1.3808,1.02274,1.10192,0.56081,0.45735,0.47908,0.29266,1.28046,0.92523,1.05909,0.00512775,0.00512775,0.00512775
101,9124.26,1.38099,1.01769,1.10744,0.56285,0.45709,0.47984,0.29327,1.28038,0.92368,1.05916,0.00505,0.00505,0.00505
102,9213.46,1.36365,1.00634,1.09603,0.55882,0.46131,0.48063,0.29425,1.27996,0.92251,1.05891,0.00497225,0.00497225,0.00497225
103,9371.21,1.3788,1.01946,1.09976,0.55803,0.4614,0.48221,0.29571,1.27815,0.92113,1.05825,0.00489452,0.00489452,0.00489452
104,9460.62,1.3744,1.01579,1.10173,0.55921,0.46077,0.48158,0.29547,1.27788,0.92034,1.05827,0.00481682,0.00481682,0.00481682
105,9549.74,1.37676,1.01618,1.10223,0.55571,0.46712,0.48214,0.29516,1.27726,0.92023,1.05801,0.00473919,0.00473919,0.00473919
106,9639.3,1.37389,1.01173,1.09988,0.55988,0.46535,0.48192,0.29521,1.27712,0.91959,1.05754,0.00466163,0.00466163,0.00466163
107,9729.04,1.37278,1.01256,1.09792,0.56556,0.46099,0.48204,0.29554,1.27675,0.91873,1.05727,0.00458416,0.00458416,0.00458416
108,9818.69,1.37239,1.00329,1.09211,0.56655,0.46066,0.48273,0.29642,1.27677,0.91799,1.0573,0.00450682,0.00450682,0.00450682
109,9908.42,1.35422,0.99983,1.10083,0.56738,0.45784,0.48283,0.29635,1.27638,0.9174,1.05751,0.0044296,0.0044296,0.0044296
110,9997.81,1.37712,1.00853,1.09626,0.56183,0.46185,0.48328,0.29713,1.27601,0.91747,1.05721,0.00435254,0.00435254,0.00435254
111,10088.1,1.35615,0.99429,1.09506,0.56239,0.46262,0.483,0.29707,1.27502,0.91671,1.05691,0.00427565,0.00427565,0.00427565
112,10177.8,1.37071,0.99492,1.09583,0.56398,0.46178,0.48322,0.29709,1.27446,0.91631,1.05664,0.00419895,0.00419895,0.00419895
113,10267.9,1.37266,0.99774,1.08961,0.56532,0.46286,0.48327,0.29742,1.27408,0.91582,1.05666,0.00412246,0.00412246,0.00412246
114,10357.3,1.35703,0.98106,1.09202,0.56575,0.46403,0.48377,0.29783,1.2735,0.91518,1.0564,0.0040462,0.0040462,0.0040462
115,10446.9,1.36284,1.00016,1.0953,0.56731,0.46403,0.48422,0.29779,1.27325,0.91462,1.05604,0.00397019,0.00397019,0.00397019
116,10537.1,1.35253,0.99065,1.09158,0.56643,0.46392,0.48434,0.29774,1.27333,0.91439,1.05591,0.00389445,0.00389445,0.00389445
117,10627,1.35679,0.98833,1.08916,0.56018,0.46722,0.48417,0.29767,1.27409,0.91397,1.056,0.00381899,0.00381899,0.00381899
118,10716.7,1.3437,0.97793,1.08468,0.56334,0.46341,0.48458,0.29806,1.27378,0.91342,1.05582,0.00374383,0.00374383,0.00374383
119,10806.3,1.36059,0.99118,1.09267,0.56553,0.46355,0.48526,0.2985,1.27341,0.91291,1.05534,0.00366899,0.00366899,0.00366899
120,10896,1.34425,0.97816,1.08193,0.565,0.46359,0.48568,0.299,1.27322,0.91232,1.05512,0.0035945,0.0035945,0.0035945
121,10986.3,1.35851,0.98659,1.09562,0.56669,0.46216,0.4857,0.29898,1.27284,0.91171,1.05489,0.00352037,0.00352037,0.00352037
122,11076.2,1.34017,0.96594,1.08248,0.5664,0.46525,0.48615,0.29934,1.27283,0.91122,1.05492,0.00344661,0.00344661,0.00344661
123,11166,1.3488,0.97864,1.08632,0.56239,0.46747,0.48663,0.29956,1.27288,0.91064,1.05488,0.00337325,0.00337325,0.00337325
