epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1450.59,2.48128,1.73354,1.28013,0.40146,0.29545,0.24937,0.0744,2.46055,1.75922,1.38174,0.00672675,0.00672675,0.00672675
80,1468.64,2.49546,1.77442,1.28349,0.41814,0.30363,0.27138,0.0832,2.42339,1.68983,1.37381,0.00665339,0.00665339,0.00665339
81,1486.64,2.49022,1.79516,1.2857,0.42402,0.31742,0.27165,0.08019,2.47119,1.77308,1.38706,0.00657963,0.00657963,0.00657963
82,1504.73,2.48276,1.79335,1.28579,0.4113,0.31024,0.25618,0.07733,2.44436,1.76693,1.37774,0.0065055,0.0065055,0.0065055
83,1523.18,2.49807,1.77987,1.29656,0.42549,0.32396,0.27371,0.08363,2.39307,1.68909,1.36777,0.00643101,0.00643101,0.00643101
84,1541.19,2.44789,1.72834,1.2921,0.43615,0.3091,0.27311,0.08324,2.41324,1.71977,1.37294,0.00635617,0.00635617,0.00635617
85,1558.92,2.46764,1.79523,1.3164,0.44513,0.30594,0.27995,0.08466,2.41409,1.69565,1.37792,0.00628101,0.00628101,0.00628101
86,1577.22,2.45777,1.74634,1.25054,0.42723,0.34749,0.2903,0.08701,2.42663,1.70401,1.36413,0.00620555,0.00620555,0.00620555
87,1595.21,2.46845,1.71743,1.29296,0.41571,0.32707,0.27294,0.08469,2.41871,1.70892,1.37062,0.00612981,0.00612981,0.00612981
88,1613.07,2.48967,1.77608,1.28001,0.42547,0.33035,0.28685,0.08807,2.41231,1.68614,1.37278,0.0060538,0.0060538,0.0060538
89,1630.98,2.45728,1.72646,1.27446,0.44909,0.32407,0.29011,0.08846,2.40358,1.73274,1.35409,0.00597754,0.00597754,0.00597754
90,1648.86,2.46336,1.7055,1.27573,0.45724,0.31648,0.29371,0.08785,2.41397,1.66465,1.37268,0.00590105,0.00590105,0.00590105
91,1667.16,2.47689,1.73271,1.26503,0.44787,0.33339,0.28169,0.0861,2.3814,1.71799,1.36362,0.00582435,0.00582435,0.00582435
92,1685.12,2.46394,1.75959,1.29337,0.43351,0.32066,0.28558,0.08512,2.41821,1.7229,1.37174,0.00574746,0.00574746,0.00574746
93,1703.3,2.44365,1.74343,1.29452,0.44381,0.3169,0.28405,0.08788,2.39857,1.69301,1.36609,0.0056704,0.0056704,0.0056704
94,1721.28,2.45705,1.72995,1.25356,0.45736,0.3284,0.29507,0.08885,2.37918,1.68309,1.36015,0.00559318,0.00559318,0.00559318
95,1739.37,2.42426,1.73719,1.2882,0.43777,0.30843,0.27855,0.08496,2.38787,1.70805,1.36703,0.00551584,0.00551584,0.00551584
96,1757.49,2.46391,1.72218,1.2743,0.468,0.32667,0.29204,0.08944,2.37434,1.67427,1.35192,0.00543837,0.00543837,0.00543837
97,1775.36,2.41169,1.67681,1.28014,0.44391,0.3278,0.28339,0.08617,2.37856,1.70521,1.36751,0.00536081,0.00536081,0.00536081
98,1793.43,2.43634,1.62672,1.25272,0.44221,0.33248,0.29033,0.0891,2.36991,1.65936,1.35672,0.00528318,0.00528318,0.00528318
99,1811.58,2.40667,1.70928,1.26668,0.46678,0.33431,0.29714,0.08867,2.3995,1.66185,1.36661,0.00520548,0.00520548,0.00520548
100,1829.34,2.42452,1.65917,1.25999,0.44289,0.32688,0.28999,0.09012,2.40082,1.64245,1.37615,0.00512775,0.00512775,0.00512775
