epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,22647.1,1.98476,1.17941,1.05783,0.63297,0.39441,0.44222,0.19886,1.89482,1.16686,1.05325,0.00381899,0.00381899,0.00381899
118,22829.7,2.00519,1.2069,1.05874,0.63181,0.39574,0.44353,0.19938,1.89441,1.16575,1.0531,0.00374383,0.00374383,0.00374383
119,23012.4,1.9926,1.18477,1.0554,0.63308,0.39475,0.44402,0.19983,1.89402,1.16451,1.05296,0.00366899,0.00366899,0.00366899
120,23194.6,2.01087,1.20613,1.06083,0.6347,0.39528,0.4453,0.20072,1.8936,1.16336,1.0528,0.0035945,0.0035945,0.0035945
121,23377.3,2.00544,1.19423,1.06025,0.63356,0.3955,0.44599,0.20102,1.89316,1.16233,1.05257,0.00352037,0.00352037,0.00352037
122,23559.4,1.9915,1.18908,1.06133,0.62783,0.39795,0.44668,0.20164,1.8927,1.16135,1.05241,0.00344661,0.00344661,0.00344661
123,23740.9,2.00551,1.19542,1.06092,0.59026,0.42017,0.44733,0.20208,1.8922,1.16021,1.05226,0.00337325,0.00337325,0.00337325
124,23924,2.00572,1.18175,1.0603,0.5906,0.41972,0.4485,0.20218,1.89181,1.15924,1.05209,0.0033003,0.0033003,0.0033003
125,24200.8,1.99393,1.17207,1.05669,0.59369,0.42124,0.44924,0.2027,1.89125,1.15832,1.05187,0.00322778,0.00322778,0.00322778
126,24383.7,1.99272,1.18889,1.05951,0.59302,0.42151,0.45002,0.20296,1.89085,1.15727,1.05169,0.00315572,0.00315572,0.00315572
127,24565.4,1.9964,1.17811,1.06044,0.58659,0.42316,0.45155,0.20322,1.89037,1.15626,1.05151,0.00308412,0.00308412,0.00308412
128,24747.5,1.99451,1.17306,1.06192,0.56035,0.4291,0.45197,0.20374,1.88993,1.1552,1.05132,0.003013,0.003013,0.003013
129,24989.1,1.98522,1.17217,1.05757,0.55236,0.42987,0.45265,0.20379,1.88947,1.15418,1.05112,0.00294239,0.00294239,0.00294239
130,25172.6,1.99057,1.17355,1.05803,0.50678,0.4449,0.45336,0.204,1.88898,1.15314,1.0509,0.0028723,0.0028723,0.0028723
131,25356.2,1.98961,1.15887,1.05214,0.51885,0.44773,0.45394,0.20435,1.88853,1.15216,1.0507,0.00280275,0.00280275,0.00280275
132,25539.3,1.98879,1.16466,1.05293,0.51273,0.44888,0.4561,0.20494,1.88795,1.15109,1.0505,0.00273375,0.00273375,0.00273375
133,25721.9,1.99415,1.16283,1.05431,0.51433,0.44807,0.45615,0.20531,1.88743,1.15018,1.05028,0.00266532,0.00266532,0.00266532
134,25906.6,1.9869,1.16482,1.05251,0.51793,0.44686,0.45711,0.2056,1.88682,1.14926,1.05007,0.00259748,0.00259748,0.00259748
135,26089.9,1.98681,1.16541,1.04979,0.46188,0.45738,0.45707,0.20573,1.88617,1.14808,1.04984,0.00253024,0.00253024,0.00253024
136,26271.7,1.97872,1.16195,1.05223,0.46894,0.45808,0.4576,0.20613,1.88567,1.14715,1.04965,0.00246363,0.00246363,0.00246363
137,26454.2,1.97341,1.16009,1.05171,0.47469,0.45834,0.45829,0.20657,1.88518,1.14593,1.04948,0.00239766,0.00239766,0.00239766
138,26636.1,1.98869,1.17554,1.05728,0.4805,0.45928,0.45966,0.20688,1.8847,1.1449,1.04925,0.00233234,0.00233234,0.00233234
139,26989.3,1.97253,1.1464,1.05126,0.48173,0.45165,0.46014,0.20725,1.88426,1.14382,1.04905,0.00226769,0.00226769,0.00226769
140,27172.2,1.97364,1.15289,1.04922,0.48894,0.45627,0.46082,0.20767,1.88376,1.14278,1.04887,0.00220372,0.00220372,0.00220372
